cau,romaji,nghia
はしで ごはんを たべます。,Hashi de gohan o tabemasu.,Tôi ăn cơm bằng đũa.
はさみで かみを きります。,Hasami de kami o kirimasu.,Tôi cắt giấy bằng kéo.
パソコンで レポートを かきます。,Pasokon de repooto o kakimasu.,Tôi viết báo cáo bằng máy vi tính.
にほんごで てがみを かきます。,Nihongo de tegami o kakimasu.,Tôi viết thư bằng tiếng Nhật.
「ありがとう」は えいごで なんですか。,“Arigatou” wa eigo de nan desu ka.,“Arigatou” tiếng Anh nói thế nào?
…「サンキュー」です。,…“Sankyuu” desu.,…Là “Thank you”.
ともだちに はなを あげます。,Tomodachi ni hana o agemasu.,Tôi tặng hoa cho bạn.
わたしは ミラーさんに ほんを かしました。,Watashi wa Miraa-san ni hon o kashimashita.,Tôi đã cho anh Miller mượn sách.
せんせいに にほんごを ならいます。,Sensei ni nihongo o naraimasu.,Tôi học tiếng Nhật từ thầy giáo.
だれに その プレゼントを もらいましたか。,Dare ni sono purezento o moraimashita ka.,Bạn nhận món quà đó từ ai?
…やまださんに もらいました。,…Yamada-san ni moraimashita.,…Tôi nhận từ anh Yamada.
ともだちに ほんを かりました。,Tomodachi ni hon o karimashita.,Tôi đã mượn sách của bạn.
ちちに とけいを もらいました。,Chichi ni tokei o moraimashita.,Tôi được bố tặng đồng hồ.
ははに おかねを おくります。,Haha ni okane o okurimasu.,Tôi gửi tiền cho mẹ.
クリスマスに おかあさんに シャツを あげました。,Kurisumasu ni okaasan ni shatsu o agemashita.,"Vào Giáng sinh, tôi tặng mẹ áo sơ mi."
もう ひるごはんを たべましたか。,Mou hirugohan o tabemashita ka.,Bạn ăn trưa chưa?
…はい、もう たべました。,"…Hai, mou tabemashita.","…Vâng, tôi ăn rồi."
…いいえ、まだです。,"…Iie, mada desu.","…Chưa, tôi chưa ăn."
やまだ先生に でんわを かけます。,Yamada-sensei ni denwa o kakemasu.,Tôi gọi điện cho thầy Yamada.
りょこうの おみやげを もらいました。,Ryokou no omiyage o moraimashita.,Tôi được tặng quà chuyến du lịch.
かいしゃから おかねを もらいました。,Kaisha kara okane o moraimashita.,Tôi nhận tiền từ công ty.
「Cảm ơn」は にほんごで なんですか。,「Cảm ơn」wa nihongo de nan desu ka.,「Cảm ơn」tiếng Nhật nói thế nào?
…「ありがとう」です。,…“Arigatou” desu.,…Là “Arigatou”.
もう にもつを おくりましたか。,Mou nimotsu o okurimashita ka.,Bạn gửi hành lý chưa?
…いいえ、まだです。,"…Iie, mada desu.","…Chưa, tôi vẫn chưa."
もう きっぷを かいましたか。,Mou kippu o kaimashita ka.,Bạn mua vé chưa?
…はい、もう かいました。,"…Hai, mou kaimashita.","…Vâng, tôi mua rồi."
コーヒー、のみませんか。,"Koohii, nomimasen ka.",Uống cà phê không? (lược bỏ trợ từ を)
ごはん、たべましたか。,"Gohan, tabemashita ka.",Ăn cơm chưa? (lược bỏ trợ từ を)
おちゃは いかがですか。,Ocha wa ikaga desu ka.,Mời chị dùng trà nhé?
…ありがとうございます。いただきます。,…Arigatou gozaimasu. Itadakimasu.,…Cảm ơn ạ. Tôi xin phép dùng.
コーヒーは いかがですか。,Koohii wa ikaga desu ka.,Anh dùng cà phê nhé?
おみずを どうぞ。,Omizu o douzo.,Mời anh dùng nước.
のみものは いかがですか。,Nomimono wa ikaga desu ka.,Mời anh dùng đồ uống nhé?
これ、どうぞ。,"Kore, douzo.",Cái này, xin mời anh.
このことばは にほんごで なんですか。,Kono kotoba wa nihongo de nan desu ka.,Từ này tiếng Nhật là gì?
このことばは えいごで なんですか。,Kono kotoba wa eigo de nan desu ka.,Từ này tiếng Anh là gì?
…「メール」です。,…“Meeru” desu.,…Là “Meeru” (mail).
ともだちに メールを おくります。,Tomodachi ni meeru o okurimasu.,Tôi gửi email cho bạn.
パソコンで メールを おくります。,Pasokon de meeru o okurimasu.,Tôi gửi email bằng máy tính.
えんぴつで なまえを かきます。,Enpitsu de namae o kakimasu.,Tôi viết tên bằng bút chì.
ナイフで パンを きります。,Naifu de pan o kirimasu.,Tôi cắt bánh mì bằng dao.
くるまで かいしゃへ いきます。,Kuruma de kaisha e ikimasu.,Tôi đi đến công ty bằng ô tô.
スマホで しゃしんを とります。,Sumaho de shashin o torimasu.,Tôi chụp ảnh bằng điện thoại.
「Xin chào」は にほんごで なんですか。,「Xin chào」wa nihongo de nan desu ka.,「Xin chào」tiếng Nhật nói thế nào?
…「こんにちは」です。,…“Konnichiwa” desu.,…Là “Konnichiwa”.
「ほん」は えいごで なんですか。,“Hon” wa eigo de nan desu ka.,“Hon” tiếng Anh là gì?
…「book」です。,…“Book” desu.,…Là “book”.
いもうとに おかしを あげました。,Imouto ni okashi o agemashita.,Tôi đã cho em gái bánh kẹo.
せんせいに ほんを かしました。,Sensei ni hon o kashimashita.,Tôi đã cho thầy giáo mượn sách.
ともだちに えいごを おしえます。,Tomodachi ni eigo o oshiemasu.,Tôi dạy tiếng Anh cho bạn.
やまださんに はなを もらいました。,Yamada-san ni hana o moraimashita.,Tôi được anh Yamada tặng hoa.
せんぱいに にほんごを ならいました。,Senpai ni nihongo o naraimashita.,Tôi đã học tiếng Nhật từ đàn anh.
だれに この かさを かりましたか。,Dare ni kono kasa o karimashita ka.,Bạn mượn cái ô này của ai?
…ミラーさんに かりました。,…Miraa-san ni karimashita.,…Tôi mượn của anh Miller.
がっこうから ほんを もらいました。,Gakkou kara hon o moraimashita.,Tôi nhận sách từ nhà trường.
もう しゅくだいを しましたか。,Mou shukudai o shimashita ka.,Bạn làm bài tập chưa?
…はい、もう しました。,"…Hai, mou shimashita.","…Vâng, tôi làm rồi."
もう メールを おくりましたか。,Mou meeru o okurimashita ka.,Bạn gửi email chưa?
…いいえ、まだです。,"…Iie, mada desu.","…Chưa, tôi vẫn chưa."
ケーキは いかがですか。,Keeki wa ikaga desu ka.,Mời anh dùng bánh nhé?
…ありがとうございます。いただきます。,…Arigatou gozaimasu. Itadakimasu.,…Cảm ơn ạ. Tôi xin phép dùng.
おちゃ、のみませんか。,"Ocha, nomimasen ka.",Uống trà không? (lược bỏ trợ từ を)
